OBJECTID,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,INTPTLAT10,INTPTLON10,TRACT,TRBG,TRBG_STR,ACRES_TOTAL,ACRES_LAND,ACRES_WATER,WATER,SHAPE_Length,SHAPE_Area
1,000100,1,530330001001,Block Group 1,+47.7276870,-122.2815160,100,100.1,100.1,588.28300232,221.04119962,367.28557726,,21168.9185432238,25625607.5812283
2,000100,2,530330001002,Block Group 2,+47.7293165,-122.2924690,100,100.2,100.2,71.25802986,71.26321504,0,,8692.08918600554,3103999.78057221
3,000100,3,530330001003,Block Group 3,+47.7228093,-122.2894558,100,100.3,100.3,91.6046287,91.61135474,0,,8560.64576864451,3990297.62616049
4,000100,4,530330001004,Block Group 4,+47.7319367,-122.2944531,100,100.4,100.4,31.23724489,31.23930937,0,,4693.43960866212,1360694.38733924
5,000100,5,530330001005,Block Group 5,+47.7229283,-122.2944374,100,100.5,100.5,56.95654581,56.96075559,0,,7450.7592510799,2481027.13536631
6,000200,1,530330002001,Block Group 1,+47.7290869,-122.2989162,200,200.1,200.1,101.79726849,101.80445171,0,,10678.6249966596,4434289.01525131
7,000200,2,530330002002,Block Group 2,+47.7217900,-122.3028293,200,200.2,200.2,125.47193405,125.48085379,0,,10233.4855613256,5465557.44740969
8,000200,3,530330002003,Block Group 3,+47.7279294,-122.3190327,200,200.3,200.3,244.11050196,244.12850248,0,,16189.444000335,10633453.4655714
9,000200,4,530330002004,Block Group 4,+47.7286592,-122.3101784,200,200.4,200.4,93.21931376,93.22618841,0,,10082.5778572508,4060633.30720386
10,000200,5,530330002005,Block Group 5,+47.7227588,-122.3139286,200,200.5,200.5,121.03976077,121.04852457,0,,9619.46833375367,5272491.9791553
11,000200,6,530330002006,Block Group 6,+47.7292210,-122.3046804,200,200.6,200.6,126.36916985,126.37858764,0,,11359.6718083695,5504641.03865881
12,000300,1,530330003001,Block Group 1,+47.7300655,-122.3289033,300,300.1,300.1,194.79880231,194.81392869,0,,12732.4543444998,8485435.82880544
13,000300,2,530330003002,Block Group 2,+47.7313815,-122.3404296,300,300.2,300.2,104.30305384,104.31108869,0,,8613.17651519672,4543441.02525815
14,000401,1,530330004011,Block Group 1,+47.7308311,-122.3507154,401,401.1,401.1,156.03884558,148.25655675,7.79395082,,12988.2160218372,6797052.11355277
15,000401,2,530330004012,Block Group 2,+47.7295922,-122.3582502,401,401.2,401.2,100.55300951,100.56002901,0,,9265.56694301365,4380089.09443751
16,000401,3,530330004013,Block Group 3,+47.7250894,-122.3511384,401,401.3,401.3,80.37925689,67.94755504,12.43755514,,7524.35878305353,3501320.43002497
17,000402,1,530330004021,Block Group 1,+47.7223429,-122.3556433,402,402.1,402.1,79.4046978,79.41027945,0,,9197.17015502205,3458868.63634582
18,000402,2,530330004022,Block Group 2,+47.7148698,-122.3475496,402,402.2,402.2,185.41161565,185.42515974,0,,14840.491260686,8076529.97771601
19,000402,3,530330004023,Block Group 3,+47.7141594,-122.3555649,402,402.3,402.3,79.73884688,79.74510724,0,,7895.82816474951,3473424.17024691
20,000402,4,530330004024,Block Group 4,+47.7183437,-122.3561478,402,402.4,402.4,99.93905857,99.94621924,0,,9214.26597277981,4353345.39152484
21,000500,1,530330005001,Block Group 1,+47.7249329,-122.3718768,500,500.1,500.1,682.00914266,451.64364775,230.41489515,,29423.3798824871,29708318.2542044
22,000500,2,530330005002,Block Group 2,+47.7206019,-122.3636520,500,500.2,500.2,99.95038975,99.95684477,0,,9319.31039717193,4353838.97735375
23,000500,3,530330005003,Block Group 3,+47.7152604,-122.3663004,500,500.3,500.3,160.77026326,160.78208141,0,,15730.0491018361,7003152.66781598
24,000600,1,530330006001,Block Group 1,+47.7251219,-122.3365251,600,600.1,600.1,222.5895178,222.6058709,0,,14009.6409558696,9695999.3952464
25,000600,2,530330006002,Block Group 2,+47.7149025,-122.3152640,600,600.2,600.2,61.11395488,61.11830362,0,,6746.36563041532,2662123.87470253
26,000600,3,530330006003,Block Group 3,+47.7197645,-122.3371991,600,600.3,600.3,202.80420833,189.42011244,13.39879507,,15006.4187027481,8834151.31475641
27,000600,4,530330006004,Block Group 4,+47.7120765,-122.3371285,600,600.4,600.4,240.76208487,240.77874193,0,,15489.9076158641,10487596.4169116
28,000600,5,530330006005,Block Group 5,+47.7177460,-122.3255867,600,600.5,600.5,139.02690217,139.03680788,0,,12749.0384753608,6056011.85836174
29,000600,6,530330006006,Block Group 6,+47.7160682,-122.3190489,600,600.6,600.6,82.0165179,82.02267754,0,,10808.8708231741,3572639.51983391
30,000700,1,530330007001,Block Group 1,+47.7174424,-122.2946004,700,700.1,700.1,51.1594701,51.16292203,0,,6079.15562887263,2228506.51738287
31,000700,2,530330007002,Block Group 2,+47.7147743,-122.2973820,700,700.2,700.2,107.9858159,107.99370019,0,,10635.4576386385,4703862.14064288
32,000700,3,530330007003,Block Group 3,+47.7175538,-122.3072289,700,700.3,700.3,80.5790963,80.58477132,0,,7961.79747113868,3510025.4347066
33,000700,4,530330007004,Block Group 4,+47.7139286,-122.3071403,700,700.4,700.4,80.17422145,80.17976561,0,,8011.24671764752,3492389.08633015
34,000800,1,530330008001,Block Group 1,+47.7153863,-122.2871500,800,800.1,800.1,120.43048927,120.43866849,0,,9051.52634020123,5245952.11243016
35,000800,2,530330008002,Block Group 2,+47.7081668,-122.2852865,800,800.2,800.2,161.64258135,161.65362209,0,,10747.8359181506,7041150.8435452
36,000900,1,530330009001,Block Group 1,+47.7127864,-122.2796303,900,900.1,900.1,129.13614949,129.14542659,0,,13156.5403195235,5625170.67180073
37,000900,2,530330009002,Block Group 2,+47.7063747,-122.2749586,900,900.2,900.2,742.53421703,117.08470715,625.50007487,,27444.151791767,32344790.4937186
38,001000,1,530330010001,Block Group 1,+47.7096097,-122.2963087,1000,1000.1,1000.1,91.7280907,91.73466033,0,,8826.37123309227,3995675.63081915
39,001000,2,530330010002,Block Group 2,+47.7043679,-122.2959096,1000,1000.2,1000.2,144.10757469,144.11680031,0,,11086.1691851686,6277325.95361728
40,001100,1,530330011001,Block Group 1,+47.7092748,-122.3057238,1100,1100.1,1100.1,124.79669057,124.80477347,0,,11798.5842328785,5436143.8413546
41,001100,2,530330011002,Block Group 2,+47.7040663,-122.3077925,1100,1100.2,1100.2,137.22105691,137.23022044,0,,10895.0848944927,5977349.23898647
42,001200,1,530330012001,Block Group 1,+47.7067404,-122.3151128,1200,1200.1,1200.1,122.01634255,122.02533214,0,,10652.1846046809,5315031.88137255
43,001200,2,530330012002,Block Group 2,+47.7043280,-122.3200238,1200,1200.2,1200.2,60.69592136,60.70020132,0,,7972.88381246276,2643914.33442875
44,001200,3,530330012003,Block Group 3,+47.7091931,-122.3210308,1200,1200.3,1200.3,61.02059177,61.02489779,0,,7987.79697034135,2658056.97770139
45,001200,4,530330012004,Block Group 4,+47.7075152,-122.3264452,1200,1200.4,1200.4,120.59992258,120.60818278,0,,11662.7456278132,5253332.62746743
46,001200,5,530330012005,Block Group 5,+47.7075947,-122.3316209,1200,1200.5,1200.5,88.83946048,88.84550421,0,,10573.1664593519,3869846.89856423
47,001300,1,530330013001,Block Group 1,+47.7028559,-122.3378598,1300,1300.1,1300.1,124.93007082,124.93771616,0,,10566.2778600575,5441953.88493644
48,001300,2,530330013002,Block Group 2,+47.7048217,-122.3460347,1300,1300.2,1300.2,60.5702055,60.57417757,0,,6874.8105253661,2638438.15149161
49,001300,3,530330013003,Block Group 3,+47.7001728,-122.3450381,1300,1300.3,1300.3,107.05090791,107.05815921,0,,9575.08703671031,4663137.54834624
50,001400,1,530330014001,Block Group 1,+47.7105298,-122.3555061,1400,1400.1,1400.1,79.78973977,79.79502253,0,,7897.75821163859,3475641.06424268
51,001400,2,530330014002,Block Group 2,+47.7070891,-122.3585466,1400,1400.2,1400.2,127.81810149,127.82711938,0,,12509.1297860459,5567756.50087863
52,001400,3,530330014003,Block Group 3,+47.7028664,-122.3643080,1400,1400.3,1400.3,93.59317613,93.59931753,0,,9849.81539342599,4076918.7523278
53,001400,4,530330014004,Block Group 4,+47.7062878,-122.3734343,1400,1400.4,1400.4,279.14355655,226.91637716,52.24623202,,25787.1112645976,12159493.3234403
54,001500,1,530330015001,Block Group 1,+47.6961958,-122.3905366,1500,1500.1,1500.1,129.06682115,129.07524866,0,,11408.8324138861,5622150.72912921
55,001500,2,530330015002,Block Group 2,+47.6979157,-122.3990268,1500,1500.2,1500.2,258.60910052,160.15838743,98.46803485,,17524.0415107973,11265012.4188464
56,001600,1,530330016001,Block Group 1,+47.7056204,-122.3809955,1600,1600.1,1600.1,361.5179333,248.43802032,113.10433368,,21083.6639359759,15747721.1743834
57,001600,2,530330016002,Block Group 2,+47.6963993,-122.3832979,1600,1600.2,1600.2,163.45578933,163.46712848,0,,13129.9857094623,7120134.18314454
58,001600,3,530330016003,Block Group 3,+47.6933275,-122.3779540,1600,1600.3,1600.3,92.4356263,92.44212303,0,,9721.48881429851,4026495.88180139
59,001701,1,530330017011,Block Group 1,+47.6921888,-122.3576268,1701,1701.1,1701.1,79.99952024,80.0050621,0,,9238.22838160238,3484779.10146143
60,001701,2,530330017012,Block Group 2,+47.6958402,-122.3525289,1701,1701.2,1701.2,75.33015007,75.33526461,0,,7927.01048153645,3281381.33701239
61,001701,3,530330017013,Block Group 3,+47.7020793,-122.3528889,1701,1701.3,1701.3,65.26378539,65.26819139,0,,7933.73690648551,2842890.49141166
62,001702,1,530330017021,Block Group 1,+47.6992780,-122.3574379,1702,1702.1,1702.1,84.91221987,84.91726997,0,,9870.98352017141,3698776.29750469
63,001702,2,530330017022,Block Group 2,+47.6924455,-122.3687262,1702,1702.2,1702.2,80.2825413,80.28799776,0,,7946.06149988065,3497107.49907197
64,001702,3,530330017023,Block Group 3,+47.6963785,-122.3684070,1702,1702.3,1702.3,72.72438954,72.72904416,0,,7945.95675807809,3167874.40853697
65,001702,4,530330017024,Block Group 4,+47.6978405,-122.3619724,1702,1702.4,1702.4,78.40999519,78.41543319,0,,8057.55191185531,3415539.39029095
66,001800,1,530330018001,Block Group 1,+47.6942077,-122.3375804,1800,1800.1,1800.1,104.2410782,104.24832393,0,,9593.99111223254,4540741.36652897
67,001800,2,530330018002,Block Group 2,+47.6922220,-122.3443809,1800,1800.2,1800.2,60.31152722,60.31570534,0,,7420.71180707359,2627170.12573881
68,001800,3,530330018003,Block Group 3,+47.6954034,-122.3465577,1800,1800.3,1800.3,68.44525066,68.44992027,0,,8213.04864355208,2981475.11879668
